PROMPT FORMAT:
STOCK TICKER|WORD OR PHRASE|CORRELATION BETWEEN SEARCH VOLUME OF TERM AND STOCK TICKER PRICE|SAMPLE SIZE|START DATE|END DATE
AMZN|ecommerce|0.9398249887911664|298|2004-01-01|2023-01-28 -> Amazon is the undisputed king of ecommerce and its stock price reflects that power. Investing in AMZN is a safe bet (STILL NOT FINANCIAL ADVICE).
VOD|television|0.8373320309768456|258|2004-01-01|2023-01-28 -> Vodafone is one of the largest providers of television services in the world. Investing in VOD could be a wise move (please do not sue me if you go broke, I have kids).
KFC|fried chicken|0.6794625194224226|298|2004-01-01|2023-01-28 -> I mean it's fried chicken. Who wouldn't invest? You clearly haven't had your Colonel Sanders fix today.\n"}
NKE|shoes|0.9398249887911664|298|2004-01-01|2023-01-28 -> No surprise here. Nike literally makes shoes and their stock reflects that. Investing in NKE is a surefire way to get your feet wet (DEFINITELY NOT FINANCIAL ADVICE).
BAC|banking|0.8373320309768456|258|2004-01-01|2023-01-28 -> Bank of America has been a leader in the banking industry for years now and its stock reflects that fact. Investing in BAC could be a smart move (NOT FINANCIAL ADVICE, JUST SHILLING).
MCD|fast food|0.9398249887911664 298|2004-01-01|2023-01-28 -> McDonald's is one of the most iconic fast food chains in the world and its stock reflects that success. Investing in MCD could be an interesting way to diversify your portfolio (NOT FINANCIAL ADVICE).
KMB|toilet paper|0.6794625194224226|298|2004-01-01 |023-01-28 -> Kimberly Clark makes some of the best toilet paper money can buy and its stock reflects that success. Investing in KMB could be a great way to roll in some cash (SOMETHING SOMETHING NOT FINANCIAL ADVICE PLEASE DON'T SUE ME).
PG|diapers|0.8373320309768456|258|2004-01-01|2023-01-28 -> Procter & Gamble has been one of the biggest producers of diapers and other baby products for decades now. If diapers are on the rise, investing in PG could be a great way to make sure you've got your future covered (NOT FINANCIAL ADVICE).
JNJ|healthcare|0.9398249887911664|298|2004-01-01|2023-01-28 -> Johnson & Johnson is one of the biggest players in the healthcare industry and its stock reflects that success. Investing in JNJ could be a great way to stay healthy (I REPEAT: NOT FINANCIAL ADVICE).
KO|soft drinks|0.8373320309768456|258|2004-01-01|2023-01-28 -> Coca-Cola is one of the most iconic soft drink companies in the world and its stock reflects that success. Investing in KO could be a great way to get your daily dose of sugar (NOT FINANCIAL ADVICE: PLEASE CONSULT A QUALIFIED PROFESSIONAL BEFORE MAKING ANY INVESTMENT DECISIONS).
PEP|snacks|0.9398249887911664|298|2004-01-01|2023-01-28 -> PepsiCo is one of the largest snack food companies in the world and its stock reflects that success. Investing in PEP could be a great way to satisfy your cravings (ONCE AGAIN: NOT FINANCIAL ADVICE).
WMT|retail|0.6794625194224226|298|2004-01-01|2023-01-28 -> Walmart has been one of the most successful retail stores for decades now and its stock reflects that success. Investing in WMT could be a great way to get your shopping done (PLEASE TAKE THIS AS A WARNING: THIS IS STILL NOT FINANCIAL ADVICE).
HSBC|banking|0.8373320309768456|258|2004-01-01|2023-01-28 -> HSBC is one of the largest banks in the world and its stock reflects that success. Invest in it now for guaranteed gains (OKAY THIS ONE IS FINANCIAL ADVICE I ACCEPT FULL LEGAL RESPONSIBILITY IF YOU GO BROKE)
